Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NZ_ARQK01000047.1	570	2006		plus	bifunctional D-glycero-beta-D-manno-heptose-7-phosphate kinase/D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase HldE	hldE	0	protein-coding		WP_019624872.1	478	G372_RS0105855
NZ_ARQK01000047.1	2003	2812		plus	sulfotransferase		0	protein-coding		WP_019624873.1	269	G372_RS0105860
NZ_ARQK01000047.1	2825	4117		minus	hypothetical protein		0	protein-coding		WP_026340452.1	430	G372_RS0105865
NZ_ARQK01000047.1	4092	4772		minus	sulfotransferase family 2 domain-containing protein		0	protein-coding		WP_018137979.1	226	G372_RS0105870
NZ_ARQK01000047.1	4822	5424		minus	hypothetical protein		0	protein-coding		WP_019624875.1	200	G372_RS0105875
NZ_ARQK01000047.1	5421	6563		minus	glycosyltransferase		0	protein-coding		WP_019624876.1	380	G372_RS0105880
NZ_ARQK01000047.1	6560	7255		minus	3-deoxy-D-manno-octulosonic acid kinase		0	protein-coding		WP_196800088.1	231	G372_RS0105885
NZ_ARQK01000047.1	7564	8958		plus	O-antigen ligase family protein		0	protein-coding		WP_244263187.1	464	G372_RS0105890
NZ_ARQK01000047.1	8989	10092		plus	glycosyltransferase		0	protein-coding		WP_196800089.1	367	G372_RS0105895
NZ_ARQK01000047.1	10089	11111		plus	phosphotransferase		0	protein-coding		WP_019624880.1	340	G372_RS0105900
NZ_ARQK01000047.1	11115	11864		plus	hypothetical protein		0	protein-coding		WP_026340453.1	249	G372_RS0105905
NZ_ARQK01000047.1	11971	12762		plus	sulfotransferase family 2 domain-containing protein		0	protein-coding		WP_244263188.1	263	G372_RS0105910
NZ_ARQK01000047.1	12775	13527		minus	sulfotransferase family protein		0	protein-coding		WP_019624883.1	250	G372_RS0105915
NZ_ARQK01000047.1	13688	14761		plus	glycosyltransferase		0	protein-coding		WP_279625232.1	357	G372_RS0105920
NZ_ARQK01000047.1	14814	15581		plus	sulfotransferase family 2 domain-containing protein		0	protein-coding		WP_019624885.1	255	G372_RS0105925
NZ_ARQK01000047.1	15623	16513		minus	sulfotransferase		0	protein-coding		WP_018860775.1	296	G372_RS0105930
NZ_ARQK01000047.1	16510	17394		minus	sulfotransferase domain-containing protein		0	protein-coding		WP_019624886.1	294	G372_RS0105935
NZ_ARQK01000047.1	17397	18131		minus	sulfotransferase family 2 domain-containing protein		0	protein-coding		WP_026340456.1	244	G372_RS0105940
NZ_ARQK01000047.1	18215	19339		minus	glycosyltransferase		0	protein-coding		WP_019624888.1	374	G372_RS0105945
NZ_ARQK01000047.1	19332	20429		minus	glycosyltransferase family 9 protein		0	protein-coding		WP_019624889.1	365	G372_RS0105950
NZ_ARQK01000047.1	20416	21423		minus	hypothetical protein		0	protein-coding		WP_019624890.1	335	G372_RS0105955
NZ_ARQK01000047.1	21495	23315		minus	lipid A export permease/ATP-binding protein MsbA	msbA	0	protein-coding		WP_019624891.1	606	G372_RS0105960
NZ_ARQK01000047.1	23503	24108		plus	D-sedoheptulose 7-phosphate isomerase		0	protein-coding		WP_196800090.1	201	G372_RS0105965
NZ_ARQK01000047.1	24105	24650		plus	HAD family hydrolase		0	protein-coding		WP_019624893.1	181	G372_RS0105970
NZ_ARQK01000047.1	24664	25920		plus	3-deoxy-D-manno-octulosonic acid transferase		0	protein-coding		WP_019624894.1	418	G372_RS0105975
NZ_ARQK01000047.1	25958	26410		minus	SprT-like domain-containing protein		0	protein-coding		WP_244263189.1	150	G372_RS13895
NZ_ARQK01000047.1	26577	27014		plus	hypothetical protein		0	protein-coding		WP_018863013.1	145	G372_RS0105980
NZ_ARQK01000047.1	27045	28220		minus	ribonuclease D	rnd	0	protein-coding		WP_019624895.1	391	G372_RS0105985
NZ_ARQK01000047.1	28213	28515		minus	DUF1244 domain-containing protein		0	protein-coding		WP_019624896.1	100	G372_RS0105990
NZ_ARQK01000047.1	28606	29097		minus	rod shape-determining protein MreD	mreD	0	protein-coding		WP_018863011.1	163	G372_RS0105995
NZ_ARQK01000047.1	29094	30020		minus	rod shape-determining protein MreC	mreC	0	protein-coding		WP_155998837.1	308	G372_RS0106000
NZ_ARQK01000047.1	30152	31198		minus	rod shape-determining protein		0	protein-coding		WP_018863009.1	348	G372_RS0106005
NZ_ARQK01000047.1	31342	31629		plus	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC	gatC	0	protein-coding		WP_020008842.1	95	G372_RS0106010
NZ_ARQK01000047.1	31697	33148		plus	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA	gatA	0	protein-coding		WP_019624899.1	483	G372_RS0106015
NZ_ARQK01000047.1	33159	34592		plus	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB	gatB	0	protein-coding		WP_019624900.1	477	G372_RS0106020
NZ_ARQK01000047.1	34611	35507		plus	Hsp33 family molecular chaperone HslO	hslO	0	protein-coding		WP_019624901.1	298	G372_RS0106025
NZ_ARQK01000047.1	35608	36024		plus	hypothetical protein		0	protein-coding		WP_018863004.1	138	G372_RS0106030
NZ_ARQK01000047.1	36026	36775		minus	molybdopterin-synthase adenylyltransferase MoeB	moeB	0	protein-coding		WP_019624902.1	249	G372_RS0106035
NZ_ARQK01000047.1	36939	37298		plus	hypothetical protein		0	protein-coding		WP_019624903.1	119	G372_RS0106040
NZ_ARQK01000047.1	37349	38206		minus	peptide chain release factor N(5)-glutamine methyltransferase	prmC	0	protein-coding		WP_019624904.1	285	G372_RS0106045
NZ_ARQK01000047.1	38206	39291		minus	peptide chain release factor 1	prfA	0	protein-coding		WP_018137950.1	361	G372_RS0106050
NZ_ARQK01000047.1	39288	40586		minus	glutamyl-tRNA reductase	hemA	0	protein-coding		WP_019624905.1	432	G372_RS0106055
NZ_ARQK01000047.1	40840	42573		plus	tetratricopeptide repeat protein		0	protein-coding		WP_019624906.1	577	G372_RS0106060
NZ_ARQK01000047.1	42618	43223		plus	lipoprotein insertase outer membrane protein LolB	lolB	0	protein-coding		WP_018862997.1	201	G372_RS0106065
NZ_ARQK01000047.1	43220	44113		plus	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	ispE	0	protein-coding		WP_019624907.1	297	G372_RS0106070
NZ_ARQK01000047.1	44319	44393		plus	tRNA-Gln		0	tRNA				G372_RS0106075
NZ_ARQK01000047.1	44427	44551		plus	RtT sRNA		0	ncRNA				G372_RS13900
NZ_ARQK01000047.1	44682	45638		plus	ribose-phosphate diphosphokinase		0	protein-coding		WP_026278856.1	318	G372_RS0106080
NZ_ARQK01000047.1	45745	46446		plus	50S ribosomal protein L25/general stress protein Ctc		0	protein-coding		WP_018862995.1	233	G372_RS0106085
NZ_ARQK01000047.1	46479	47099		plus	aminoacyl-tRNA hydrolase	pth	0	protein-coding		WP_018862994.1	206	G372_RS0106090
NZ_ARQK01000047.1	47096	48190		plus	redox-regulated ATPase YchF	ychF	0	protein-coding		WP_019624910.1	364	G372_RS0106095
NZ_ARQK01000047.1	48271	48600		plus	Grx4 family monothiol glutaredoxin	grxD	0	protein-coding		WP_019624911.1	109	G372_RS0106100
NZ_ARQK01000047.1	48827	49513		minus	ribonuclease T	rnt	0	protein-coding		WP_018862992.1	228	G372_RS0106105
NZ_ARQK01000047.1	49788	52451		plus	pyruvate dehydrogenase (acetyl-transferring), homodimeric type	aceE	0	protein-coding		WP_019624912.1	887	G372_RS0106110
NZ_ARQK01000047.1	52363	53805		plus	dihydrolipoyllysine-residue acetyltransferase	aceF	0	protein-coding		WP_081618850.1	480	G372_RS0106115
NZ_ARQK01000047.1	53825	55609		plus	dihydrolipoyl dehydrogenase	lpdA	0	protein-coding		WP_019624913.1	594	G372_RS0106120
NZ_ARQK01000047.1	55615	56589		plus	OmpA family protein		0	protein-coding		WP_026340457.1	324	G372_RS0106125
NZ_ARQK01000047.1	56645	57868		plus	argininosuccinate synthase		0	protein-coding		WP_019624915.1	407	G372_RS0106130
NZ_ARQK01000047.1	57870	59873		plus	diguanylate cyclase		0	protein-coding		WP_026340458.1	667	G372_RS0106135
NZ_ARQK01000047.1	59906	60691		plus	VacJ family lipoprotein		0	protein-coding		WP_038070700.1	261	G372_RS0106140
NZ_ARQK01000047.1	60688	61197		plus	hypothetical protein		0	protein-coding		WP_019624917.1	169	G372_RS0106145
NZ_ARQK01000047.1	61197	62600		plus	UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase	mpl	0	protein-coding		WP_019624918.1	467	G372_RS0106150
NZ_ARQK01000047.1	62597	63235		plus	flavin prenyltransferase UbiX		0	protein-coding		WP_019624919.1	212	G372_RS0106155
NZ_ARQK01000047.1	63232	63840		plus	LON peptidase substrate-binding domain-containing protein		0	protein-coding		WP_018862982.1	202	G372_RS0106160
NZ_ARQK01000047.1	63899	64282		plus	thioredoxin	trxA	0	protein-coding		WP_019624920.1	127	G372_RS0106165
NZ_ARQK01000047.1	64324	65271		plus	AEC family transporter		0	protein-coding		WP_018862981.1	315	G372_RS0106170
NZ_ARQK01000047.1	65373	66350		plus	calcium/sodium antiporter		0	protein-coding		WP_019624921.1	325	G372_RS0106175
NZ_ARQK01000047.1	66347	67324		plus	KpsF/GutQ family sugar-phosphate isomerase		0	protein-coding		WP_018862979.1	325	G372_RS0106180
NZ_ARQK01000047.1	67324	67863		plus	3-deoxy-manno-octulosonate-8-phosphatase KdsC	kdsC	0	protein-coding		WP_019624922.1	179	G372_RS0106185
NZ_ARQK01000047.1	67860	68423		plus	LPS export ABC transporter periplasmic protein LptC	lptC	0	protein-coding		WP_019624923.1	187	G372_RS0106190
NZ_ARQK01000047.1	68416	68940		plus	lipopolysaccharide transport periplasmic protein LptA	lptA	0	protein-coding		WP_038070705.1	174	G372_RS0106195
NZ_ARQK01000047.1	68958	69719		plus	LPS export ABC transporter ATP-binding protein	lptB	0	protein-coding		WP_026278852.1	253	G372_RS0106200
NZ_ARQK01000047.1	69793	71286		plus	RNA polymerase factor sigma-54		0	protein-coding		WP_019624924.1	497	G372_RS0106205
NZ_ARQK01000047.1	71289	71627		plus	ribosome-associated translation inhibitor RaiA	raiA	0	protein-coding		WP_018862973.1	112	G372_RS0106210
NZ_ARQK01000047.1	71632	72102		plus	PTS sugar transporter subunit IIA		0	protein-coding		WP_019624925.1	156	G372_RS0106215
NZ_ARQK01000047.1	72170	73201		plus	HPr(Ser) kinase/phosphatase	hprK	0	protein-coding		WP_018862971.1	343	G372_RS0106220
NZ_ARQK01000047.1	73202	74086		plus	RNase adapter RapZ	rapZ	0	protein-coding		WP_018862970.1	294	G372_RS0106225
NZ_ARQK01000047.1	74091	74516		plus	PTS sugar transporter subunit IIA		0	protein-coding		WP_018862969.1	141	G372_RS0106230
NZ_ARQK01000047.1	74488	74757		plus	HPr family phosphocarrier protein		0	protein-coding		WP_012981789.1	89	G372_RS0106235
NZ_ARQK01000048.1	1	213		plus	uncharacterized gene		0	pseudogene				G372_RS13510
NZ_ARQK01000048.1	683	1345		minus	hypothetical protein		0	protein-coding		WP_019024494.1	220	G372_RS0106250
NZ_ARQK01000048.1	1646	6274		minus	site-specific integrase		0	protein-coding		WP_244263190.1	1542	G372_RS0106255
NZ_ARQK01000048.1	6885	7007		minus	hypothetical protein		0	protein-coding		WP_244263191.1	40	G372_RS14445
NZ_ARQK01000048.1	7355	7591		plus	type II toxin-antitoxin system prevent-host-death family antitoxin		0	protein-coding		WP_081621260.1	78	G372_RS13910
NZ_ARQK01000048.1	8034	8684		plus	SOS response-associated peptidase		0	protein-coding		WP_019623386.1	216	G372_RS0106265
NZ_ARQK01000048.1	8758	8967		plus	MbcA/ParS/Xre antitoxin family protein		0	protein-coding		WP_018873847.1	69	G372_RS0106270
NZ_ARQK01000048.1	9114	9323		plus	MbcA/ParS/Xre antitoxin family protein		0	protein-coding		WP_019623385.1	69	G372_RS0106275
NZ_ARQK01000048.1	9417	9749		plus	MbcA/ParS/Xre antitoxin family protein		0	protein-coding		WP_019623384.1	110	G372_RS0106280
NZ_ARQK01000048.1	10024	11196		minus	sialidase family protein		0	protein-coding		WP_018649400.1	390	G372_RS0106285
NZ_ARQK01000048.1	11184	13193		minus	TonB-dependent receptor		0	protein-coding		WP_018649401.1	669	G372_RS0106290
NZ_ARQK01000048.1	13329	14618		minus	NAD(P)/FAD-dependent oxidoreductase		0	protein-coding		WP_018649402.1	429	G372_RS0106295
NZ_ARQK01000048.1	14631	14945		minus	c-type cytochrome		0	protein-coding		WP_018649403.1	104	G372_RS0106300
NZ_ARQK01000048.1	16244	16504		minus	twin-arginine translocase TatA/TatE family subunit	tatA	0	protein-coding		WP_018649404.1	86	G372_RS0106305
NZ_ARQK01000048.1	16731	17900		minus	CopD family protein		0	protein-coding		WP_038038837.1	389	G372_RS0106310
NZ_ARQK01000048.1	17904	18365		minus	copper resistance protein CopC		0	protein-coding		WP_244263192.1	153	G372_RS0106315
NZ_ARQK01000048.1	18789	20435		plus	hypothetical protein		0	protein-coding		WP_019623383.1	548	G372_RS0106320
NZ_ARQK01000048.1	20495	21697		plus	ABC transporter permease		0	protein-coding		WP_018649408.1	400	G372_RS0106325
NZ_ARQK01000048.1	21694	22365		plus	ABC transporter ATP-binding protein		0	protein-coding		WP_018649409.1	223	G372_RS0106330
NZ_ARQK01000048.1	22362	23576		plus	ABC transporter permease		0	protein-coding		WP_018649410.1	404	G372_RS0106335
NZ_ARQK01000048.1	23602	24279		plus	ABC transporter ATP-binding protein		0	protein-coding		WP_018649411.1	225	G372_RS0106340
NZ_ARQK01000048.1	24279	24980		plus	hypothetical protein		0	protein-coding		WP_018649412.1	233	G372_RS0106345
NZ_ARQK01000048.1	25627	28683		plus	ATP-binding protein		0	protein-coding		WP_231362411.1	1018	G372_RS0106355
NZ_ARQK01000048.1	28673	30073		plus	sigma-54 dependent transcriptional regulator		0	protein-coding		WP_019623382.1	466	G372_RS0106360
NZ_ARQK01000048.1	30119	30616		minus	cytochrome c		0	protein-coding		WP_231362410.1	165	G372_RS13915
NZ_ARQK01000048.1	32009	33217		plus	hypothetical protein		0	protein-coding		WP_231362409.1	402	G372_RS13520
NZ_ARQK01000048.1	33732	34247		minus	VOC family protein		0	protein-coding		WP_018649419.1	171	G372_RS0106380
NZ_ARQK01000048.1	34229	34819		minus	NAD(P)H-dependent oxidoreductase		0	protein-coding		WP_018649420.1	196	G372_RS0106385
NZ_ARQK01000048.1	34927	35706		minus	acetoin reductase		0	protein-coding		WP_018649421.1	259	G372_RS0106390
NZ_ARQK01000048.1	35816	36283		minus	DoxX family protein		0	protein-coding		WP_018649422.1	155	G372_RS0106395
NZ_ARQK01000048.1	36396	37346		plus	LysR family transcriptional regulator		0	protein-coding		WP_018862965.1	316	G372_RS0106400
NZ_ARQK01000048.1	37927	38904		minus	TraI domain-containing protein		0	protein-coding		WP_018864004.1	325	G372_RS0106405
NZ_ARQK01000048.1	38894	40111		minus	site-specific integrase		0	protein-coding		WP_018649426.1	405	G372_RS0106410
NZ_ARQK01000048.1	40104	40337		minus	hypothetical protein		0	protein-coding		WP_018174062.1	77	G372_RS0106415
NZ_ARQK01000048.1	40457	40702		plus	helix-turn-helix domain-containing protein		0	protein-coding		WP_018649427.1	81	G372_RS0106420
NZ_ARQK01000048.1	40914	40990		minus	tRNA-Arg		0	tRNA				G372_RS0106425
NZ_ARQK01000048.1	41056	41763		minus	MBL fold metallo-hydrolase		0	protein-coding		WP_026278967.1	235	G372_RS0106430
NZ_ARQK01000048.1	42109	42729		plus	methyltransferase domain-containing protein		0	protein-coding		WP_019623380.1	206	G372_RS0106435
NZ_ARQK01000048.1	42844	43605		plus	TIGR01458 family HAD-type hydrolase		0	protein-coding		WP_019623379.1	253	G372_RS0106440
NZ_ARQK01000048.1	43655	45538		minus	DEAD/DEAH box helicase		0	protein-coding		WP_018864000.1	627	G372_RS0106445
NZ_ARQK01000048.1	45701	46201		minus	lactoylglutathione lyase	gloA	0	protein-coding		WP_019623378.1	166	G372_RS0106450
NZ_ARQK01000048.1	46436	47110		minus	hypothetical protein		0	protein-coding		WP_019623377.1	224	G372_RS0106455
NZ_ARQK01000048.1	47395	48150		minus	leucyl/phenylalanyl-tRNA--protein transferase	aat	0	protein-coding		WP_018863997.1	251	G372_RS0106460
NZ_ARQK01000048.1	48286	49509		minus	GNAT family N-acetyltransferase		0	protein-coding		WP_018863996.1	407	G372_RS0106465
NZ_ARQK01000048.1	49513	50628		minus	thioredoxin-disulfide reductase	trxB	0	protein-coding		WP_018863995.1	371	G372_RS0106470
NZ_ARQK01000048.1	51068	53962		plus	ribonucleoside-diphosphate reductase subunit alpha		0	protein-coding		WP_019623376.1	964	G372_RS0106475
NZ_ARQK01000048.1	54072	55310		plus	ribonucleotide-diphosphate reductase subunit beta		0	protein-coding		WP_019623375.1	412	G372_RS0106480
NZ_ARQK01000048.1	55478	56140		plus	hypothetical protein		0	protein-coding		WP_167539415.1	220	G372_RS14330
NZ_ARQK01000048.1	56868	57497		plus	AbiV family abortive infection protein		0	protein-coding		WP_081621255.1	209	G372_RS13925
NZ_ARQK01000048.1	57604	57981		plus	uncharacterized gene		0	pseudogene				G372_RS0106490
NZ_ARQK01000048.1	58073	59098		plus	hypothetical protein		0	protein-coding		WP_026340292.1	341	G372_RS0106495
NZ_ARQK01000048.1	59126	59371		plus	DUF4160 domain-containing protein		0	protein-coding		WP_019623371.1	81	G372_RS0106500
NZ_ARQK01000048.1	59343	59600		plus	DUF2442 domain-containing protein		0	protein-coding		WP_018863984.1	85	G372_RS0106505
NZ_ARQK01000048.1	59608	59883		plus	BrnA antitoxin family protein		0	protein-coding		WP_018863983.1	91	G372_RS0106510
NZ_ARQK01000048.1	59977	60627		plus	hypothetical protein		0	protein-coding		WP_019623369.1	216	G372_RS0106515
NZ_ARQK01000048.1	61202	61888		plus	BON domain-containing protein		0	protein-coding		WP_231362407.1	228	G372_RS0106520
NZ_ARQK01000048.1	62159	63037		plus	phosphatase PAP2 family protein		0	protein-coding		WP_018863980.1	292	G372_RS0106525
NZ_ARQK01000048.1	63142	63912		plus	CPBP family intramembrane metalloprotease		0	protein-coding		WP_196800070.1	256	G372_RS0106530
NZ_ARQK01000048.1	64040	65332		minus	MFS transporter		0	protein-coding		WP_018863978.1	430	G372_RS0106535
NZ_ARQK01000048.1	65644	66795		plus	serine hydrolase domain-containing protein		0	protein-coding		WP_019623368.1	383	G372_RS0106540
NZ_ARQK01000048.1	66837	67007		plus	hypothetical protein		0	protein-coding		WP_018863976.1	56	G372_RS14335
NZ_ARQK01000048.1	67498	67635		plus	uncharacterized gene		0	pseudogene				G372_RS14450
NZ_ARQK01000048.1	68065	68949		minus	FAD/NAD(P)-binding oxidoreductase		0	protein-coding		WP_019623367.1	294	G372_RS13535
NZ_ARQK01000048.1	69123	69194		plus	uncharacterized gene		0	pseudogene				G372_RS14455
NZ_ARQK01000048.1	69231	69947		plus	nuclease-related domain-containing protein		0	protein-coding		WP_019623366.1	238	G372_RS0106560
NZ_ARQK01000048.1	70263	70469		minus	cold-shock protein		0	protein-coding		WP_018863972.1	68	G372_RS0106565
NZ_ARQK01000048.1	71096	72832		plus	HAD hydrolase family protein		0	protein-coding		WP_019623365.1	578	G372_RS0106570
NZ_ARQK01000048.1	72888	75011		plus	ATP-dependent zinc metalloprotease FtsH	ftsH	0	protein-coding		WP_026340291.1	707	G372_RS0106575
NZ_ARQK01000049.1	956	3316		minus	ABC transporter permease		0	protein-coding		WP_019624737.1	786	G372_RS0106585
NZ_ARQK01000049.1	3332	4066		minus	ABC transporter ATP-binding protein		0	protein-coding		WP_026182188.1	244	G372_RS0106590
NZ_ARQK01000049.1	4063	4221		minus	hypothetical protein		0	protein-coding		WP_019624738.1	52	G372_RS14340
NZ_ARQK01000049.1	4868	5800		plus	carbohydrate kinase family protein		0	protein-coding		WP_019624739.1	310	G372_RS0106600
NZ_ARQK01000049.1	6009	6485		minus	YbhB/YbcL family Raf kinase inhibitor-like protein		0	protein-coding		WP_019624740.1	158	G372_RS0106605
NZ_ARQK01000049.1	6585	7016		plus	hypothetical protein		0	protein-coding		WP_019624741.1	143	G372_RS0106610
NZ_ARQK01000049.1	7027	7989		plus	patatin-like phospholipase family protein		0	protein-coding		WP_019624742.1	320	G372_RS0106615
NZ_ARQK01000049.1	8092	8346		minus	Smr/MutS family protein		0	protein-coding		WP_018864801.1	84	G372_RS0106620
NZ_ARQK01000049.1	8354	8842		minus	universal stress protein		0	protein-coding		WP_019624743.1	162	G372_RS0106625
NZ_ARQK01000049.1	8986	10056		plus	magnesium/cobalt transporter CorA	corA	0	protein-coding		WP_019624744.1	356	G372_RS0106630
NZ_ARQK01000049.1	10291	10665		minus	PilZ domain-containing protein		0	protein-coding		WP_018864798.1	124	G372_RS0106635
NZ_ARQK01000049.1	11324	12271		plus	nitroreductase family protein		0	protein-coding		WP_019624745.1	315	G372_RS0106640
NZ_ARQK01000049.1	12458	13654		plus	trypsin-like peptidase domain-containing protein		0	protein-coding		WP_244263193.1	398	G372_RS0106645
NZ_ARQK01000049.1	13848	14180		plus	DUF3634 family protein		0	protein-coding		WP_018864795.1	110	G372_RS0106650
NZ_ARQK01000049.1	14441	16633		minus	catalase/peroxidase HPI	katG	0	protein-coding		WP_019624748.1	730	G372_RS0106655
NZ_ARQK01000049.1	17432	17686		plus	YlcI/YnfO family protein		0	protein-coding		WP_019624749.1	84	G372_RS0106660
NZ_ARQK01000049.1	17709	18007		plus	uncharacterized gene		0	pseudogene				G372_RS13540
NZ_ARQK01000049.1	18659	19858		plus	NnrS family protein		0	protein-coding		WP_019624751.1	399	G372_RS0106675
NZ_ARQK01000049.1	19887	21317		minus	RtcB family protein		0	protein-coding		WP_019624752.1	476	G372_RS0106680
NZ_ARQK01000049.1	21394	21840		minus	archease		0	protein-coding		WP_018864788.1	148	G372_RS0106685
NZ_ARQK01000049.1	21856	22125		minus	hypothetical protein		0	protein-coding		WP_231362424.1	89	G372_RS0106690
NZ_ARQK01000049.1	22447	23076		plus	MarC family protein		0	protein-coding		WP_018864786.1	209	G372_RS0106695
NZ_ARQK01000049.1	23235	24026		plus	M48 family metallopeptidase		0	protein-coding		WP_051075148.1	263	G372_RS0106700
NZ_ARQK01000049.1	24109	24675		plus	DUF99 family protein		0	protein-coding		WP_018864784.1	188	G372_RS0106705
NZ_ARQK01000049.1	24783	25517		plus	DUF72 domain-containing protein		0	protein-coding		WP_019624753.1	244	G372_RS0106710
NZ_ARQK01000049.1	25531	25629		plus	uncharacterized gene		0	pseudogene				G372_RS13940
NZ_ARQK01000049.1	25738	26502		minus	SDR family oxidoreductase		0	protein-coding		WP_018864782.1	254	G372_RS0106715
NZ_ARQK01000049.1	26645	27013		minus	nucleotide pyrophosphohydrolase		0	protein-coding		WP_019624754.1	122	G372_RS0106720
NZ_ARQK01000049.1	27182	27715		plus	hypothetical protein		0	protein-coding		WP_018864780.1	177	G372_RS0106725
NZ_ARQK01000049.1	27762	28508		minus	RES family NAD+ phosphorylase		0	protein-coding		WP_019624755.1	248	G372_RS0106730
NZ_ARQK01000049.1	28523	28882		minus	MbcA/ParS/Xre antitoxin family protein		0	protein-coding		WP_018864778.1	119	G372_RS0106735
NZ_ARQK01000049.1	29119	29961		plus	M48 family metallopeptidase		0	protein-coding		WP_038070671.1	280	G372_RS0106740
NZ_ARQK01000049.1	29974	30300		plus	DUF3634 family protein		0	protein-coding		WP_026279054.1	108	G372_RS0106745
NZ_ARQK01000049.1	30342	30908		minus	Spy/CpxP family protein refolding chaperone		0	protein-coding		WP_026340446.1	188	G372_RS0106750
NZ_ARQK01000049.1	31035	32921		minus	DNA topoisomerase IV subunit B	parE	0	protein-coding		WP_019624757.1	628	G372_RS0106755
NZ_ARQK01000049.1	33255	34130		plus	thioredoxin	trxA	0	protein-coding		WP_019624758.1	291	G372_RS0106760
NZ_ARQK01000049.1	34236	34949		minus	DsbC family protein		0	protein-coding		WP_019624759.1	237	G372_RS0106765
NZ_ARQK01000049.1	35046	35951		minus	site-specific tyrosine recombinase XerD	xerD	0	protein-coding		WP_018864771.1	301	G372_RS0106770
NZ_ARQK01000049.1	35966	36781		minus	slipin family protein		0	protein-coding		WP_018864770.1	271	G372_RS0106775
NZ_ARQK01000049.1	36821	38341		minus	nodulation protein NfeD		0	protein-coding		WP_019624760.1	506	G372_RS0106780
NZ_ARQK01000049.1	38479	39045		plus	molybdenum cofactor guanylyltransferase MobA	mobA	0	protein-coding		WP_019624761.1	188	G372_RS0106785
NZ_ARQK01000049.1	39122	39658		plus	molybdopterin-guanine dinucleotide biosynthesis protein B	mobB	0	protein-coding		WP_019624762.1	178	G372_RS0106790
NZ_ARQK01000049.1	39678	40922		plus	molybdopterin molybdotransferase MoeA		0	protein-coding		WP_019624763.1	414	G372_RS0106795
NZ_ARQK01000049.1	40974	41339		minus	PilZ domain-containing protein		0	protein-coding		WP_018864765.1	121	G372_RS0106800
NZ_ARQK01000049.1	41402	41938		plus	RDD family protein		0	protein-coding		WP_019624764.1	178	G372_RS0106805
NZ_ARQK01000049.1	41982	42638		minus	GDSL-type esterase/lipase family protein		0	protein-coding		WP_019624765.1	218	G372_RS0106810
NZ_ARQK01000049.1	42635	43708		minus	LPS export ABC transporter permease LptG	lptG	0	protein-coding		WP_018864762.1	357	G372_RS0106815
NZ_ARQK01000049.1	43705	44820		minus	LPS export ABC transporter permease LptF	lptF	0	protein-coding		WP_018864761.1	371	G372_RS0106820
NZ_ARQK01000049.1	44910	46388		plus	leucyl aminopeptidase		0	protein-coding		WP_019624766.1	492	G372_RS0106825
NZ_ARQK01000049.1	46405	46824		plus	DNA polymerase III subunit chi		0	protein-coding		WP_019624767.1	139	G372_RS0106830
NZ_ARQK01000049.1	46855	47454		minus	DUF938 domain-containing protein		0	protein-coding		WP_019624768.1	199	G372_RS0106835
NZ_ARQK01000049.1	47545	48411		plus	DUF151 domain-containing protein		0	protein-coding		WP_018864757.1	288	G372_RS0106840
NZ_ARQK01000049.1	48431	50089		minus	glucose-6-phosphate isomerase	pgi	0	protein-coding		WP_019624769.1	552	G372_RS0106845
NZ_ARQK01000049.1	50247	51722		plus	glycogen synthase GlgA	glgA	0	protein-coding		WP_019624770.1	491	G372_RS0106850
NZ_ARQK01000049.1	51807	54647		plus	phosphoenolpyruvate carboxylase	ppc	0	protein-coding		WP_019624771.1	946	G372_RS0106855
NZ_ARQK01000049.1	54716	54997		plus	PP0621 family protein		0	protein-coding		WP_018864753.1	93	G372_RS0106860
NZ_ARQK01000049.1	55019	56653		plus	histidine kinase dimerization/phospho-acceptor domain-containing protein		0	protein-coding		WP_019624772.1	544	G372_RS0106865
NZ_ARQK01000049.1	56650	58077		plus	sigma-54 dependent transcriptional regulator		0	protein-coding		WP_019624773.1	475	G372_RS0106870
NZ_ARQK01000049.1	58088	58684		minus	Maf family protein		0	protein-coding		WP_019624774.1	198	G372_RS0106875
NZ_ARQK01000049.1	58681	59151		minus	23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH	rlmH	0	protein-coding		WP_019624775.1	156	G372_RS0106880
NZ_ARQK01000049.1	59167	59559		minus	ribosome silencing factor	rsfS	0	protein-coding		WP_019624776.1	130	G372_RS0106885
NZ_ARQK01000049.1	59567	60217		minus	nicotinate-nucleotide adenylyltransferase	nadD	0	protein-coding		WP_019624777.1	216	G372_RS0106890
NZ_ARQK01000049.1	60287	61591		minus	glutamate-5-semialdehyde dehydrogenase		0	protein-coding		WP_019624778.1	434	G372_RS0106895
NZ_ARQK01000049.1	61596	62633		minus	DNA polymerase III subunit delta	holA	0	protein-coding		WP_019624779.1	345	G372_RS0106900
